 ,Mean1,Mean2,Mean3,Mean4
1,88,68,132,68
2,85,59,126,62
3,84,76,127,66
4,87,64,124,60
5,88,69,109,76
6,84,63,129,72
7,77,66,129,70
8,86,59,122,57
9,72,66,120,66
10,91,63,127,77
11,92,68,129,64
12,96,57,129,77
13,78,68,129,66
14,79,63,143,64
15,84,60,120,66
16,82,66,116,60
17,79,61,126,77
18,92,67,124,76
19,85,54,129,67
20,82,64,115,69
21,85,67,129,72
22,91,67,133,71
23,91,68,132,64
24,88,65,104,70
25,82,59,127,62
26,75,64,135,68
27,84,55,116,57
28,86,60,119,70
29,90,63,120,61
30,80,61,130,73
31,76,62,126,69
32,81,66,126,68
33,93,65,113,63
34,81,54,135,68
35,82,65,130,80
36,86,60,110,60
37,86,58,133,81
38,91,66,132,72
39,85,77,129,67
40,87,72,123,73
41,96,69,143,84
42,95,63,147,86
43,85,51,122,70
44,92,71,143,62
45,85,66,143,66
46,105,60,120,59
47,79,50,135,63
48,78,69,120,66
49,88,56,129,70
50,90,60,122,68
51,84,68,130,59
52,85,62,129,67
53,85,56,132,69
54,85,70,119,70
55,81,71,119,75
56,91,71,122,75
57,92,68,132,66
58,90,65,124,63
59,80,63,123,65
60,97,65,123,65
61,91,65,117,72
62,75,64,119,64
63,91,67,122,70
64,81,71,123,64
65,84,64,126,60
66,78,63,129,84
67,82,68,126,73
68,90,62,110,68
69,87,67,126,73
70,86,59,120,68
71,92,58,127,70
72,76,62,119,63
73,90,61,123,67
74,98,65,130,63
75,82,56,123,68
76,80,67,129,70
77,90,75,124,67
78,81,69,126,75
79,87,65,139,73
80,86,60,109,69
81,82,63,120,65
82,77,64,130,72
83,84,68,124,66
84,98,63,108,64
85,81,63,129,67
86,85,68,117,66
87,84,69,116,63
88,82,65,122,67
89,84,65,123,67
90,81,71,120,62
91,80,60,124,70
92,87,62,129,68
93,78,67,129,73
94,78,72,115,70
95,79,67,126,69
96,82,59,122,57
97,85,75,117,70
98,86,70,127,61
99,86,68,130,71
100,81,68,130,73
